Sample,Pquery,Multiplicity,"LWR 1","LWR 2","LWR 3","LWR 4","LWR 5"
epa_result,22ad0440cbee1b7b9b7ea270c9443361f4fc0434;size=99,1,0.246926,0.199191,0.153308,0.118942,0.118454
epa_result,a9632e81948668d79830d7240ef1367f8aecbd45;size=103,1,0.230796,0.141479,0.12863,0.128191,0.109461
epa_result,1e8be3fa8da58ff9bfd1ad4e72ffe69f98896d8f;size=31,1,0.460205,0.178059,0.157696,0.155521,0.0216646
epa_result,9042ff62c315143f98d82b0b2483da272cb8a5e8;size=10,1,0.446863,0.170156,0.167375,0.162976,0.0196392
epa_result,446a2b6f8fa8f97c4a06bf6ae5895a388c276f90;size=59,1,0.653452,0.155326,0.137841,0.0396434,0
epa_result,892dedc0e31e8e33900196d682d437ff463e7ec6;size=19,1,0.279327,0.164887,0.152312,0.151608,0.0848755
epa_result,e60f4465b1fabddcc1f524bf96f2d33f25c8c2ce;size=43,1,0.672858,0.151406,0.0528637,0.0249692,0.0240506
epa_result,1efa804760d46214f8a8f55730ba5fb5e42461a5;size=21,1,0.286907,0.285581,0.244334,0.0668767,0.0371964
epa_result,9cc1b4bdd8b9dc348003aed8e8419e94d7926d7c;size=11,1,0.377856,0.18369,0.17493,0.169041,0.0643055
epa_result,085dddfd7cc905ca5f9eb66d44cb743e74ffed55;size=11,1,0.342317,0.28236,0.120626,0.0581545,0.0521613
epa_result,46daedbb558e98665117f166a5fe90344765627f;size=85,1,0.47609,0.463504,0.0233285,0.021026,0
epa_result,f2a5affc79c9ef8263609e46f023825b7fd7c197;size=33,1,0.269199,0.209134,0.148304,0.124194,0.123771
epa_result,e5e07fdba41c471e2ae39c6bcc1558cfa7c91c60;size=16,1,0.409692,0.272343,0.22408,0.027462,0.0233193
epa_result,55f0c374ef49d8100131a0ddf5496716007bb0dd;size=129,1,0.32895,0.213078,0.148362,0.0995153,0.0994025
epa_result,b5c019f8c13dfbdf18f79db58ef13144c70740a1;size=40,1,0.44862,0.444137,0.104871,0,0
