Sample,Pquery,Multiplicity,"LWR 1","LWR 2","LWR 3","LWR 4","LWR 5"
epa_result,d2cf55babd69d4b705cfab778dc5c8e645e4de86;size=60,1,0.330629,0.3215,0.31399,0.0164708,0.0157497
epa_result,fa4cb269dbcf6569c69587ebdfa86179826b6750;size=19998,1,0.272144,0.271747,0.266963,0.133882,0.0437908
epa_result,4b1c0bd8f8577ecacda165f7b72e9e6decbda6ba;size=93,1,0.611094,0.198562,0.190321,0,0
epa_result,571a814776be68432903c967a005f4a5ae7a68f1;size=24,1,0.97224,0,0,0,0
epa_result,505ca3ddc3c666e001c64f3f71cbb1dd3dbf9b86;size=818,1,0.25799,0.179175,0.174576,0.102768,0.101638
epa_result,7c16cc2d09fac6deafe04442205d2cee58896ba5;size=6042,1,0.602705,0.141669,0.1394,0.0582788,0.0570739
epa_result,526a9abf3c33ea27ec8713902d99b11deae7d39f;size=211,1,0.263864,0.263276,0.193962,0.192958,0.0799266
epa_result,84521a1be2237c53d2a1842fd7d2c81794687f49;size=23,1,0.74924,0.205024,0,0,0
epa_result,1d1c6c2b19cd223e3073f52337b50fda1b28bebb;size=76,1,0.592755,0.150604,0.115061,0.114998,0.0213949
epa_result,45c8ae624737be572603012f89625e3ed4b03949;size=320,1,0.549761,0.18209,0.0783787,0.0782594,0.0485528
epa_result,6556defa1947364197e70c4b29f5bda293efc1a6;size=316,1,0.395221,0.232285,0.228679,0.0371394,0.037115
epa_result,06dad572291bb2a12d0143ebb149de3cf3ecf215;size=26,1,0.880246,0.0434104,0.0219031,0.020206,0.0180827
epa_result,a78daf64e2cb0246529a465248eda11e1bf6a9cd;size=12,1,0.386977,0.256868,0.225717,0.0523258,0.0409899
epa_result,33efcb2301c94e3c667bab7352c6fc805a838606;size=28,1,0.544046,0.229161,0.224668,0,0
epa_result,e30d8a249c865f08795da7266320070523683c4d;size=21,1,0.409256,0.295129,0.28977,0,0
epa_result,46f5c0a794bbca38e557f6cf549f0b50ddd23985;size=16,1,0.274309,0.272198,0.2022,0.202121,0.0461656
epa_result,7d7ae7fddd9ea5993f3ecf43cb69e9a0cdfc0e13;size=472,1,0.710844,0.145545,0.142042,0,0
epa_result,ed231dd260814468a245044883b87897a6e844a1;size=20,1,0.995655,0,0,0,0
epa_result,4b3f95b6d19371cce2267d985300267bccbddd34;size=980,1,0.337212,0.335996,0.32679,0,0
